	点	1405	0	0
	点	1405	3	0
	点	1639	1	0
	点	1873	2	0
	点	2107	1	0
	点	2341	0	0
	点	2341	3	0
	点	2576	2	0
	点	2810	1	0
	点	3044	2	0
	点	3278	1	0
	点	3278	2	0
	点	3512	1	0
	点	3512	2	0
	点	3747	0	0
	点	3981	3	0
	点	4215	1	0
	点	4215	2	0
	点	4449	1	0
	点	4683	3	0
	点	4918	0	0
	点	5152	2	0
	点	5386	1	0
	点	5620	3	0
	点	5854	0	0
	点	6088	1	0
	点	6088	2	0
	点	6557	1	0
	点	6557	2	0
	点	7142	1	0
	点	7435	3	0
	点	7669	0	0
	点	7962	2	0
	点	8196	1	0
	点	8430	2	0
	点	8665	1	0
	点	8899	2	0
	点	9133	1	0
	点	9367	2	0
	点	9601	1	0
	点	10070	1	0
	点	10362	2	0
	点	10538	1	0
	点	10538	2	0
	点	10772	2	0
	点	11241	1	0
	点	11709	1	0
	点	11943	2	0
	点	12177	1	0
	点	12412	2	0
	点	12646	1	0
	点	12880	2	0
	点	13114	1	0
	点	13348	2	0
	点	13817	1	0
	点	14051	2	0
	点	14344	1	0
	点	14578	0	0
	点	14578	3	0
	点	14988	1	0
	点	14988	2	0
	点	15456	1	0
	点	15690	2	0
	点	15925	1	0
	点	16159	2	0
	点	16393	1	0
	点	16627	2	0
	点	16861	1	0
	点	17096	2	0
	点	17330	1	0
	点	17564	3	0
	点	17857	0	0
	点	18032	0	0
	点	18208	3	0
	点	18501	1	0
	点	18501	2	0
	点	18735	2	0
	点	18969	1	0
	点	19262	3	0
	点	19730	1	0
	点	19964	2	0
	点	20199	3	0
	点	20521	1	0
	点	20521	2	0
	点	21135	1	0
	点	21135	2	0
	点	22072	1	0
	点	22511	3	0
	点	22306	2	0
	点	22775	1	0
	点	22775	2	0
	点	22980	1	0
	点	22980	2	0
	点	23243	1	0
	点	24004	2	0
	点	23741	1	0
	点	23507	1	0
	点	24414	2	0
	点	24180	2	0
	点	24882	2	0
	点	24882	1	0
	点	24677	1	0
	点	25878	2	0
	点	25585	1	0
	点	25585	0	0
	点	25351	2	0
	点	25351	3	0
	点	25117	1	0
	点	26288	2	0
	点	26053	3	0
	点	26551	0	0
	点	26756	3	0
	点	26990	3	0
	点	27224	1	0
	点	27224	2	0
	点	27459	2	0
	点	27693	2	0
	点	27693	1	0
	点	27927	1	0
	点	28161	0	0
	点	28395	3	0
	点	28629	1	0
	点	28864	2	0
	点	29098	0	0
	点	29332	1	0
	点	29566	0	0
	点	29800	3	0
	点	30035	3	0
	点	30269	2	0
	点	30269	3	0
	点	30503	0	0
	点	30737	1	0
	点	30737	2	0
	点	30971	1	0
	点	30971	2	0
	点	31206	1	0
	点	31206	2	0
	点	31440	3	0
	点	31908	2	0
	点	32142	1	0
	点	32377	0	0
	点	33079	1	0
	点	33079	2	0
	点	33313	1	0
	点	33313	2	0
	点	33782	1	0
	点	33782	0	0
	点	34250	2	0
	点	34250	3	0
	点	34777	1	0
	点	35187	0	0
	点	35655	3	0
	点	36124	3	0
	点	36592	1	0
	点	36592	2	0
	点	37060	0	0
	点	37529	1	0
	点	37997	1	0
	点	37997	2	0
	点	38466	3	0
	点	38700	3	0
	点	39168	2	0
	点	38934	3	0
	点	39402	1	0
	点	39637	0	0
	点	39871	1	0
	点	39871	2	0
	点	40105	3	0
	点	40339	3	0
	点	40837	1	0
	点	40837	2	0
	点	40573	0	0
	点	41071	1	0
	点	41276	2	0
	点	41774	3	0
	点	41510	2	0
	点	42242	0	0
	点	41276	2	0
	点	42681	1	0
	点	42008	3	0
	点	42447	1	0
	点	43149	2	0
	点	43618	3	0
	点	44115	1	0
	点	44115	2	0
	点	44350	0	0
	点	44350	3	0
	点	45257	2	0
	点	45725	0	0
	点	44584	0	0
	点	44994	1	0
	点	45491	3	0
	点	46457	3	0
	点	45989	1	0
	点	45989	2	0
	点	46194	0	0
	点	46194	1	0
	点	46896	2	0
	点	47160	1	0
	点	47365	0	0
	点	47804	1	0
	点	47804	2	0
	点	47628	3	0
	点	48067	1	0
	点	48331	0	0
	点	48331	3	0
	点	48565	1	0
	点	48770	3	0
	点	48770	0	0
	点	49004	2	0
	点	49268	0	0
	点	49268	3	0
	点	50029	2	0
	点	51141	1	0
	点	51141	2	0
	点	51610	0	0
	点	51610	3	0
	点	50878	1	0
	点	50673	1	0
	点	50468	2	0
	点	50263	0	0
	点	49853	2	0
	点	49677	1	0
	点	49473	1	0
	点	51990	0	0
	点	52254	0	0
	点	52985	3	0
	点	53190	3	0
	点	53337	1	0
	点	53337	2	0
	点	52605	3	0
275000	128.1	231	231	
